Model,Weight,Validation_MAE_scaled
Baseline,0.26298844226763746,0.09590385854244232
CLSTAN_Residual,0.15297501455101478,0.16487403213977814
Hybrid_SelfAttn,0.1351562897173084,0.18661068379878998
CLSTAN_Large_Batch,0.10416727694935,0.24212601780891418
CLSTAN_Original,0.08795896422054819,0.2867428958415985
BiDir_Original,0.08092424167187512,0.31166937947273254
GradientTape_CLSTAN,0.07050997213718536,0.3577027124793906
BiDir_Tuned,0.05932010501323685,0.42517808079719543
CLSTAN_Tuned_Dropout,0.045999693471843774,0.5482994914054871
