actual_occupancy,model_a_prediction,model_b_naive_prediction,abs_error_model_a,abs_error_model_b,error_difference_a_minus_b
0.05344942971035585,0.045126676093786955,0.05300543154069221,0.008322753616568895,0.0004439981696636383,0.007878755446905257
0.05356042925277176,0.0451642976840958,0.05311643108310812,0.008396131568675962,0.0004439981696636383,0.007952133399012323
0.05367142879518767,0.04518460563849658,0.053227430625524035,0.008486823156691095,0.0004439981696636383,0.008042824987027457
0.053782428337603584,0.04516676301136613,0.053338430167939946,0.008615665326237455,0.0004439981696636383,0.008171667156573817
0.05389342788001949,0.045140720438212156,0.05344942971035585,0.008752707441807332,0.0004439981696636383,0.008308709272143694
0.0540044274224354,0.045095587032847106,0.05356042925277176,0.008908840389588293,0.0004439981696636383,0.008464842219924655
0.05411542696485131,0.0451366308843717,0.05367142879518767,0.008978796080479613,0.0004439981696636383,0.008534797910815975
0.05422642650726722,0.04515570600051433,0.053782428337603584,0.009070720506752894,0.0004439981696636383,0.008626722337089256
0.05433742604968313,0.04514434200245887,0.05389342788001949,0.009193084047224256,0.0004439981696636383,0.008749085877560618
0.05444842559209904,0.045155356521718204,0.0540044274224354,0.009293069070380834,0.0004439981696636383,0.008849070900717196
0.05455942513451495,0.045172767946496606,0.05411542696485131,0.009386657188018344,0.0004439981696636383,0.008942659018354705
0.05467042467693086,0.04517529753502458,0.05422642650726722,0.009495127141906277,0.0004439981696636383,0.009051128972242639
0.05478142421934677,0.04526826099026948,0.05433742604968313,0.00951316322907729,0.00044399816966364525,0.009069165059413645
0.054892423761762676,0.04531467170454562,0.05444842559209904,0.00957775205721706,0.0004439981696636383,0.009133753887553421
0.05500342330417859,0.045329108950681984,0.05455942513451495,0.009674314353496603,0.0004439981696636383,0.009230316183832965
0.0551144228465945,0.04537645890377462,0.05467042467693086,0.00973796394281988,0.0004439981696636383,0.009293965773156242
0.0552254223890104,0.045446973061189055,0.05478142421934677,0.009778449327821348,0.00044399816966363137,0.009334451158157717
0.055336421931426315,0.04549780290108174,0.054892423761762676,0.009838619030344574,0.0004439981696636383,0.009394620860680936
0.055447421473842226,0.04562981938943267,0.05500342330417859,0.009817602084409557,0.0004439981696636383,0.009373603914745919
0.05555842101625814,0.045695576700381935,0.0551144228465945,0.009862844315876203,0.0004439981696636383,0.009418846146212564
0.05566942055867405,0.045732704107649624,0.0552254223890104,0.009936716451024424,0.00044399816966364525,0.009492718281360779
0.05578042010108995,0.04580400662962347,0.055336421931426315,0.00997641347146648,0.0004439981696636383,0.009532415301802842
0.055891419643505864,0.04672081395983696,0.055447421473842226,0.009170605683668905,0.0004439981696636383,0.008726607514005266
0.056002419185921776,0.04722661292180419,0.05555842101625814,0.008775806264117586,0.0004439981696636383,0.008331808094453948
0.05611341872833769,0.0476427988614887,0.05566942055867405,0.008470619866848987,0.0004439981696636383,0.008026621697185349
0.0562244182707536,0.04804668831638992,0.05578042010108995,0.00817772995436368,0.00044399816966364525,0.007733731784700035
0.0563354178131695,0.048362054280005395,0.055891419643505864,0.007973363533164107,0.0004439981696636383,0.007529365363500469
0.056446417355585414,0.048892660764977336,0.056002419185921776,0.007553756590608078,0.0004439981696636383,0.00710975842094444
0.056557416898001325,0.05011833261232823,0.05611341872833769,0.006439084285673094,0.0004439981696636383,0.005995086116009456
0.05666841644041723,0.05092763248831034,0.0562244182707536,0.005740783952106893,0.00044399816966363137,0.005296785782443261
0.05677941598283314,0.051609196118079126,0.0563354178131695,0.005170219864754015,0.0004439981696636383,0.004726221695090377
0.05689041552524905,0.05186941660940647,0.056446417355585414,0.005020998915842581,0.0004439981696636383,0.004577000746178943
0.057001415067664964,0.05112026282586157,0.056557416898001325,0.00588115224180339,0.0004439981696636383,0.005437154072139752
0.057112414610080875,0.05103138042613864,0.05666841644041723,0.0060810341839422355,0.00044399816966364525,0.00563703601427859
0.05722341415249678,0.050795917166396976,0.05677941598283314,0.006427496986099804,0.0004439981696636383,0.0059834988164361655
0.05733441369491269,0.05104087747167796,0.05689041552524905,0.006293536223234732,0.0004439981696636383,0.005849538053571093
0.0574454132373286,0.05135943146888167,0.057001415067664964,0.006085981768446935,0.0004439981696636383,0.005641983598783297
0.057556412779744506,0.05134287674445659,0.057112414610080875,0.006213536035287917,0.00044399816966363137,0.005769537865624286
0.057667412322160425,0.05161130987107754,0.05722341415249678,0.006056102451082887,0.00044399816966364525,0.005612104281419242
0.05777841186457633,0.05160140316002071,0.05733441369491269,0.00617700870455562,0.0004439981696636383,0.005733010534891982
0.05788941140699224,0.05081662512384355,0.0574454132373286,0.00707278628314869,0.0004439981696636383,0.006628788113485051
0.05800041094940815,0.050268320832401514,0.057556412779744506,0.0077320901170066375,0.00044399816966364525,0.007288091947342992
0.058111410491824056,0.04996764217503369,0.057667412322160425,0.008143768316790367,0.00044399816966363137,0.007699770147126736
0.05822241003423997,0.049726650468073785,0.05777841186457633,0.008495759566166182,0.0004439981696636383,0.008051761396502544
0.05833340957665588,0.04933434131089598,0.05788941140699224,0.0089990682657599,0.0004439981696636383,0.00855507009609626
0.05844440911907179,0.049121961113996804,0.05800041094940815,0.009322448005074986,0.0004439981696636383,0.008878449835411348
0.0585554086614877,0.04904373886529356,0.058111410491824056,0.009511669796194139,0.00044399816966364525,0.009067671626530494
0.058666408203903606,0.04890198865905404,0.05822241003423997,0.009764419544849565,0.0004439981696636383,0.009320421375185926
0.05877740774631952,0.04875536996405572,0.05833340957665588,0.0100220377822638,0.0004439981696636383,0.009578039612600162
0.05888840728873543,0.04869354923721403,0.05844440911907179,0.0101948580515214,0.0004439981696636383,0.009750859881857761
0.05899940683115133,0.048812167486175895,0.0585554086614877,0.010187239344975438,0.00044399816966363137,0.009743241175311806
0.059110406373567244,0.04883145936764777,0.058666408203903606,0.010278947005919477,0.0004439981696636383,0.009834948836255838
0.059221405915983155,0.04842145158909261,0.05877740774631952,0.010799954326890543,0.0004439981696636383,0.010355956157226905
0.059332405458399066,0.04813142027705908,0.05888840728873543,0.011200985181339988,0.0004439981696636383,0.01075698701167635
0.05944340500081498,0.04807473509572446,0.05899940683115133,0.011368669905090514,0.00044399816966364525,0.010924671735426869
0.05955440454323088,0.048085403512232006,0.059110406373567244,0.011469001030998877,0.0004439981696636383,0.011025002861335238
0.059665404085646793,0.04863430024124682,0.059221405915983155,0.011031103844399974,0.0004439981696636383,0.010587105674736336
0.059776403628062705,0.04891455709002912,0.059332405458399066,0.010861846538033584,0.0004439981696636383,0.010417848368369946
0.059887403170478616,0.04941035888623446,0.05944340500081498,0.010477044284244154,0.0004439981696636383,0.010033046114580516
0.05999840271289453,0.049781498964875937,0.05955440454323088,0.010216903748018591,0.00044399816966364525,0.009772905578354946
0.06010940225531043,0.049865442677401006,0.059665404085646793,0.010243959577909426,0.0004439981696636383,0.009799961408245787
0.06022040179772634,0.05020561011042446,0.059776403628062705,0.010014791687301884,0.0004439981696636383,0.009570793517638246
0.060331401340142254,0.05041864502709359,0.059887403170478616,0.009912756313048665,0.0004439981696636383,0.009468758143385027
0.06044240088255816,0.050751832546666265,0.05999840271289453,0.009690568335891894,0.00044399816966363137,0.009246570166228263
0.06055340042497407,0.05097175401169807,0.06010940225531043,0.009581646413276003,0.0004439981696636383,0.009137648243612365
0.06066439996738998,0.05137881077826023,0.06022040179772634,0.00928558918912975,0.0004439981696636383,0.008841591019466112
0.06077539950980589,0.05171727039851248,0.060331401340142254,0.00905812911129341,0.0004439981696636383,0.008614130941629772
0.060886399052221804,0.051946286810562015,0.06044240088255816,0.00894011224165979,0.00044399816966364525,0.008496114071996144
0.06099739859463771,0.05246433918364346,0.06055340042497407,0.008533059410994248,0.0004439981696636383,0.00808906124133061
0.06110839813705362,0.052648882498033345,0.06066439996738998,0.008459515639020275,0.0004439981696636383,0.008015517469356637
0.06121939767946953,0.05277660477440804,0.06077539950980589,0.008442792905061489,0.0004439981696636383,0.00799879473539785
0.06133039722188544,0.052926414180547,0.060886399052221804,0.008403983041338443,0.0004439981696636383,0.007959984871674805
0.061441396764301354,0.05302198801655322,0.06099739859463771,0.00841940874774813,0.00044399816966364525,0.007975410578084485
0.06155239630671726,0.053128772182390094,0.06110839813705362,0.008423624124327164,0.0004439981696636383,0.007979625954663526
0.06166339584913317,0.053262314293533564,0.06121939767946953,0.008401081555599606,0.0004439981696636383,0.007957083385935967
0.06177439539154908,0.05337722378317267,0.06133039722188544,0.008397171608376414,0.0004439981696636383,0.007953173438712775
0.061885394933964985,0.05541981919668615,0.061441396764301354,0.006465575737278836,0.00044399816966363137,0.006021577567615205
0.061996394476380896,0.05728347389958799,0.06155239630671726,0.0047129205767929075,0.0004439981696636383,0.004268922407129269
0.06210739401879681,0.05882225651293993,0.06166339584913317,0.0032851375058568777,0.0004439981696636383,0.0028411393361932394
0.06221839356121272,0.05997216305695474,0.06177439539154908,0.0022462305042579775,0.0004439981696636383,0.0018022323345943392
0.06232939310362863,0.061308872886002064,0.061885394933964985,0.0010205202176265665,0.00044399816966364525,0.0005765220479629213
0.062440392646044535,0.06243001786060631,0.061996394476380896,1.03747854382219e-05,0.0004439981696636383,-0.0004336233842254164
0.06255139218846045,0.06347486609593034,0.06210739401879681,0.000923473907469885,0.00044399816966364525,0.00047947573780623975
0.06266239173087636,0.06448290753178298,0.06221839356121272,0.0018205158009066275,0.0004439981696636383,0.0013765176312429891
0.06277339127329226,0.0650861116591841,0.06232939310362863,0.0023127203858918366,0.00044399816966363137,0.0018687222162282052
0.06288439081570818,0.06598593224771321,0.062440392646044535,0.0031015414320050283,0.00044399816966364525,0.002657543262341383
0.06299539035812408,0.06687696976587176,0.06255139218846045,0.003881579407747679,0.00044399816966363137,0.0034375812380840476
0.06310638990053999,0.06760649289935827,0.06266239173087636,0.004500102998818284,0.00044399816966363137,0.0040561048291546525
0.0632173894429559,0.0683270818553865,0.06277339127329226,0.005109692412430589,0.00044399816966364525,0.0046656942427669434
0.06332838898537181,0.06905376608483493,0.06288439081570818,0.005725377099463122,0.00044399816966363137,0.005281378929799491
0.06343938852778772,0.0696929965633899,0.06299539035812408,0.006253608035602182,0.00044399816966363137,0.00580960986593855
0.06355038807020363,0.07050089817494154,0.06310638990053999,0.006950510104737906,0.00044399816966364525,0.006506511935074261
0.06366138761261954,0.07161522307433188,0.0632173894429559,0.007953835461712341,0.00044399816966363137,0.00750983729204871
0.06377238715503546,0.07215925888158381,0.06332838898537181,0.008386871726548353,0.00044399816966364525,0.007942873556884708
0.06388338669745136,0.07079285103827715,0.06343938852778772,0.006909464340825788,0.00044399816966364525,0.006465466171162143
0.06399438623986728,0.06978710577823222,0.06355038807020363,0.005792719538364938,0.00044399816966364525,0.0053487213687012924
0.06410538578228318,0.06889855256304145,0.06366138761261954,0.004793166780758265,0.00044399816966364525,0.00434916861109462
0.06421638532469909,0.0683431753423065,0.06377238715503546,0.004126790017607407,0.00044399816966363137,0.0036827918479437755
0.064327384867115,0.06794847175478935,0.06388338669745136,0.0036210868876743463,0.00044399816966364525,0.003177088718010701
0.06443838440953091,0.06738889310508966,0.06399438623986728,0.002950508695558754,0.00044399816966363137,0.0025065105258951226
0.06454938395194681,0.065544766606763,0.06410538578228318,0.0009953826548161904,0.00044399816966363137,0.000551384485152559
0.06466038349436273,0.06394428643397987,0.06421638532469909,0.0007160970603828642,0.00044399816966364525,0.000272098890719219
0.06477138303677864,0.06248593586497009,0.064327384867115,0.0022854471718085495,0.00044399816966363137,0.0018414490021449181
0.06488238257919454,0.061593844555318356,0.06443838440953091,0.0032885380238761863,0.00044399816966363137,0.002844539854212555
0.06499338212161046,0.06080263596959412,0.06454938395194681,0.004190746152016339,0.00044399816966364525,0.003746747982352694
0.06510438166402636,0.060063881101086736,0.06466038349436273,0.005040500562939629,0.00044399816966363137,0.004596502393275997
0.06521538120644228,0.05940439598634839,0.06477138303677864,0.005810985220093892,0.00044399816966364525,0.005366987050430247
0.06532638074885819,0.058671918231993914,0.06488238257919454,0.0066544625168642735,0.00044399816966364525,0.006210464347200628
0.0654373802912741,0.05832126596942544,0.06499338212161046,0.0071161143218486655,0.00044399816966364525,0.00667211615218502
0.06554837983369001,0.057622219319455326,0.06510438166402636,0.007926160514234684,0.00044399816966364525,0.007482162344571039
0.06565937937610591,0.05673465947620571,0.06521538120644228,0.008924719899900208,0.00044399816966363137,0.008480721730236576
0.06577037891852183,0.056280063348822296,0.06532638074885819,0.009490315569699537,0.00044399816966364525,0.009046317400035891
0.06588137846093774,0.05555149493739009,0.0654373802912741,0.010329883523547648,0.00044399816966363137,0.009885885353884016
